Genotype	SeedYield_India_2016_1	SeedYield_India_2017_1	SeedYield_India_2018_1	SeedYield_India_2021_1	SeedYield_India_2018_2	SeedYield_India_2018_3	SeedYield_India_2018_4
VI002802A-BR	4.64	8.205	8.8	4.57	1.75	8.8125	0.547
VI002859BG	4.31333333333333	10.5475	20.6	5.92	1.2	20.6125	3.46
VI002860AG	9.79	8.485	17.05	2.825	2.98	17.07	3.1
VI002872BG	6.38333333333333	15.795	18.2	7.92	5.45	18.45	1.75
VI002877BG	3.37	17.58	16	4.49	2.815	15.96	1.16
VI002894B-BR	4.03	11.6275	16.85	6.035	1.8	16.85	2.96
VI002926AG	3.835	14.51666667	12.1	NA	7.865	16.0125	5.45
VI002934AG	5.24666666666667	11.755	5.5	3.855	1.565	5.5	2.83
VI002986AG	3.795	9.7	17.15	7.22	3.065	22.55	1.8
VI002993BG	5.935	14.23	11.4	9.485	1.33	26.6	7.88
VI002999AG	7.42	10.89333333	NA	5.315	1.75	NA	1.58
VI003019A-BLM	2.035	9.99	NA	3.62	0.98	NA	NA
VI003019BG	2.35	6.675	11.3	7.31	1.4	14.6	3.08
VI003034BG	4.27	16.405	22.8	4.14	0.63	22.79166667	1.31
VI003035AG	6.505	15.70333333	15.1	4.325	1.565	16.46875	1.75
VI003057BG	11.5666666666667	11.0475	12.95	6.14	0.76	17.9375	1.26
VI003062BG	6.78333333333333	14.75	18.75	4.26	1.95	18.76	1.4
VI003068A-BR	7.13	10.9775	5.7	4.575	2.73	18.36666667	0.61
VI003070AG	6.555	11.0425	14.2	3.475	2.1	14.16666667	1.58
VI003083BG	2.54333333333333	16.5075	21.6	7.725	1.05	21.585	0.76
VI003114AG	5.74	18.66	16.95	8.05	2.65	16.96	1.95
VI003135B-BL	6.07666666666667	8.98	10.8	8.68	3.265	10.75	2.71
VI003159AG	6.35	11.585	13.9	6.515	0.8	13.85	2.1
VI003172BG	2.76333333333333	9.3775	19.05	4.555	2.85	19.025	1.05
VI003181B-GM	2.51	11.3275	12.25	4.22	0.95	12.255	2.65
VI003183AG	0.62	11.9	22.15	3.66	1.95	22.15	3.28
VI003187BG	4.74	9.84	28.6	3.6	0.865	28.60375	0.3
VI003212B-BLM	3.9525	14.0625	4.6	5.74	2.85	19.39	2.85
VI003220AG	1.91666666666667	14.8175	21.75	NA	2.65	21.77375	0.95
VI003232AG	8.925	14.3	4.7	6.945	0.26	4.677	1.95
VI003235AG	6.785	15.48666667	11.8	6.385	0.13	11.82	0.88
VI003242AG	2.29	15.3425	11.9	NA	4.25	11.89	2.85
VI003251A-BL	8.68	17	9.15	7.075	2.565	9.17	2.65
VI003251A-BLM	5.11666666666667	14.6675	28.2	8.335	2.43	28.24	0.26
VI003252BG	3.625	11.15	NA	2.3	1.13	NA	0.13
VI003255AG	6.47	13.155	14.7	3.255	3.93	14.73	4.5
VI003276BG	2.72	7.386666667	NA	5.4	4.75	NA	2.58
VI003329AG	7.36	16.75	6.6	3.1	1.55	6.6	2.41
VI003332AG	5.815	11.72666667	19.2	3.53	0.95	19.21	1.11
VI003337BG	5.65333333333333	12.25	8.2	2.9	NA	8.2	3.91
VI003364AG	8.81	14.045	21.5	8.75	3.765	21.4875	4.75
VI003379BG	2.04	12.7775	15.25	2.34	0.765	15.25166667	1.55
VI003382BG	4.345	11.215	17.9	7.46	3.65	17.86666667	0.95
VI003407AG	4.54333333333333	11.5925	6.3	4.385	1.865	6.33	1.03
VI003413BG	9.71	9.0175	11.2	5.425	2.08	11.2	0.53
VI003440AG	3.78333333333333	8.4725	23.8	4.22	3.18	23.82	3.78
VI003455AG	3.90666666666667	10.0425	8	4.8	1.815	8.011666667	3.65
VI003456AG	NA	10.46	5.8	5.9	0.38	5.79	1.88
VI003465BG	5.61666666666667	11.06	16.3	5.95	1.78	16.26	2.06
VI003470BG	4.66	9.47	18.9	7.76	4.98	12.85	3.16
VI003480BG	3.56	13.7625	18.35	8.45	4.115	18.36833333	0.36
VI003490AG	6.58666666666667	16.08666667	10.4	6.795	2.3	10.37	1.76
VI003493BG	3.795	8.9075	17	4.82	0.46	16.9625	1.83
VI003514BG	3.05666666666667	13.5075	8.4	6.015	3.08	8.4	4.96
VI003517BG	2.6	14.795	4.5	3.61	0.78	4.533333333	4.13
VI003534AG	8.22333333333333	18.8625	9.45	4.34	0.5	12.225	2.3
VI003534BG	6.1925	20.95	17.9	7.41	6.48	17.9	0.46
VI003548AG	5.47	17.5	NA	4.85	4.9	NA	NA
VI003554AG	7.08	12.92666667	7.4	3.64	0.9	7.43	0.76
VI003560BG	5.84	14.76	NA	5.235	1.865	NA	0.03
VI003563A-BR	8.11333333333333	12.815	22.1	2.96	4.9	22.08625	6.46
VI003577AG	6.13	18.1	10.15	3.925	0.58	10.16	0.9
VI003602AG	6.55	12.44	17.5	6.97	1.9	17.48	1.88
VI003642AG	3.41	15.25666667	22.2	7.14	2.2	22.19375	4.9
VI003648BG	13.64	11.5575	14.35	7.025	0.78	14.32916667	0.56
VI003658BG	3.665	18.15	NA	9.935	0.7	NA	1.9
VI003664AG	3.7375	10.7025	23.95	8.98	0.515	23.965	0.76
VI003678BG	4.01	8.326666667	NA	8.535	3.6	NA	0.7
VI003685AG	6.255	12.4375	13	6.065	0.515	12.9625	0.53
VI003699B-BG	2.82	19.55	NA	3.455	2.315	NA	3.6
VI003720BG	2.41666666666667	10.59333333	NA	4.64	1.65	NA	0.53
VI003725BG	3.37333333333333	14.6275	6.5	6.845	2.215	7.618	2.33
VI003733BG	7.22	9.883333333	9	10.975	0.6	9	1.65
VI003734B-BR	14.96	10.44333333	NA	10.75	0.55	NA	2.63
VI003734B-DG	7.74	12.7525	17.75	4.905	5.15	17.70625	3.03
VI003744AG	2.9	14.7175	12.8	8.58	NA	16.6	0.6
VI003755BG	7.435	14.34666667	10.8	8.855	1.5	10.81666667	0.55
VI003760BG	3.755	9.476666667	NA	6.42	4.4	NA	NA
VI003785BG	11.4733333333333	12.8575	19.7	6.47	3	19.6925	5.15
VI003795AG	4.59	15.4725	6.6	5.5	3.415	8.583333333	0.06
VI003801BG	3.88	13.8825	25.45	8.7	2.78	25.44375	1.5
VI003882A-BLM	4.19	13.51	16	5.435	4.115	11.044	3
VI003886B-BR	6.58333333333333	11.3025	15	10.05	2.8	15.03	4.4
VI003886BY	5.265	13.1	13.7	12.98	2.44	13.73	2.76
VI003893AG	NA	12.35	4.65	12.58	0.905	4.63125	4.13
VI003894B-BLM	1.865	11.35	NA	13.5	4.1	NA	2.43
VI003907AG	11.0333333333333	6.92	9.3	5.255	4.68	20.49375	2.8
VI003914AG	8.7825	14.8275	24	8.055	0.4	24.02	1.21
VI003925B-BLM	4.465	13.45	19.95	5.765	1.25	19.945	4.1
VI003927AG	3.265	13.76	10.3	8.325	1.815	10.31	4.66
VI003929A-BL	2.02	13.5	NA	4.12	1.615	NA	0.4
VI003942AG	8.92	8.62	8.45	5.045	1.8	8.46	1.25
VI003944B-BR	5.42	15.08333333	13.6	3.625	2.85	13.575	1.83
VI003947B-BR	10.82	12.685	13.9	4.33	1.53	13.8925	1.63
VI003948B-BR	2.3	9.0775	13	5.34	3.115	13	1.8
VI003951AG	5.92333333333333	12.265	19.6	9.3	4	19.585	2.85
VI003954BG	1.79	9.24	7.5	11.415	1.815	26.896	1.51
VI003957AG	3.2775	16.24	17.75	10.28	6.5	17.735	3.13
VI003958B-BLM	5.1125	10.06333333	16.15	5.15	3.615	16.135	4
VI003959BG	4.84333333333333	11.0275	15.1	7.185	1.83	15.075	1.83
VI004006A-GM	2.99	11.7475	NA	9.815	0.9	NA	6.5
VI004010AG	4.38	11.2	19.55	5.57	1.61	19.56	3.63
VI004024AG	11.33	9.823333333	17.1	16.97	1.18	17.49166667	1.81
VI004044BG	2.94333333333333	11.115	14.05	7.375	1.315	14.035	0.9
VI004045A-DGM	5.04	15.385	31.45	4.585	8.165	31.4475	1.62
VI004048A-DGM	7.46666666666667	11.2275	4.6	6.535	5.715	4.63	1.16
VI004069BG	9.04	19.55	7.5	5.65	3.615	7.52	1.33
VI004096AG	3.59	10.6425	10.9	4.3	0.815	20.91666667	8.18
VI004096BG	6.235	10.6	NA	7.28	0.4	NA	5.73
VI004129A-BLM	1.96	6.1425	15	1.61	1.895	14.96	3.63
VI004138BG	7.56	12.28	19.5	7.71	1.05	19.48583333	0.4
VI004145B-BLM	1.62	10.45	8.5	9.445	1.33	8.516666667	0.83
VI004184AG	3.85666666666667	10.5575	20.3	12.415	1.23	13.56666667	1.895
VI004243B-BR	2.60666666666667	9.7975	21.3	6.3	1.315	NA	NA
VI004244B-BR	1.85666666666667	7.42	9.6	5.17	0.33	NA	NA
VI004297AG	2.93333333333333	8.6975	13.75	5.19	0.965	13.75416667	1.21
VI004302AG	4.87	6.4425	13.85	6.255	4.1	13.87	1.315
VI004307AG	2.205	9.8425	10.95	6.16	4.665	10.95	0.13
VI004312AG	8.495	8.503333333	10.7	5.565	2.23	10.68125	0.98
VI004347B-BLM	1.905	8.8275	8.2	5.78	1.865	8.156	4.1
VI004351AG	4.83	7.633333333	15.9	7.045	1.635	15.9	4.68
VI004423AG	1.49	7.7275	12.5	8.25	1.765	12.4945	2.21
VI004432B-BR	7.73	7.95	17.6	4.51	0.365	17.59166667	1.88
VI004480AG	0.74	9.1	14.7	7.51	2.45	14.72	1.62
VI004639AG	3.21333333333333	12.03	14.7	5.235	1.45	14.71	1.78
VI004666AG	7.91	14.935	16.7	3.52	1.1	16.7	0.38
VI004691AG	6.96	7.225	15.2	15.625	0.5	15.2	2.45
VI004694BG	3.345	12.68	11.4	10.24	2.93	11.39033333	0.43
VI004710AG	2.87	10.01	14.2	4.145	1.25	14.17833333	0.5
VI004734AG	8.68	4.85	15.65	6.45	0.5	20.95	2.91
VI004743AG	11.23	12.115	8.8	4.5	0.45	8.75	1.25
VI004789BG	5.035	10.555	16.25	5.305	4.38	16.265	0.5
VI004810BG	15.065	12.5125	18.8	3.92	1.53	18.8	0.6
VI004811BG	2.96666666666667	12.9475	20.3	5.73	5.15	20.26	4.36
VI004822BG	4.85666666666667	9.9025	23.45	5.575	1.4	15.98	1.51
VI004838AG	3.29	9.57	18.9	6.81	2.115	18.85	5.15
VI004842AG	NA	11.28	19.9	7.525	4.08	19.89666667	4.06
VI004853BG	3.7475	10.1125	19.75	7.035	3.38	19.76	2.13
VI004871BG	11.4733333333333	9.5725	18.35	5.71	4	NA	NA
VI004877AG	6.315	13.6975	13.1	6.92	3.05	NA	NA
VI004915BG	6.8775	16.4725	16.95	4.315	4.75	16.9575	3.05
VI004931AG	5.355	9.53	16.4	6.165	4.15	16.38	4.75
VI004933AG	2.47	9.955	28.3	7.525	1.6	28.275	4.15
VI004934AG	7.67	14.8375	29.6	4.845	3.63	29.5775	1.6
VI004937AG	7.275	12.125	16.9	13.18	2.65	6.55	3.61
VI004942BG	2.045	8.85	16.4	11.62	4.8	11.375	2.65
VI004954BG	3.345	14.14333333	17.3	11.225	3.15	12.3	4.8
VI004956AG	8.2	10.715	15.05	4.505	2.85	15.005	3.15
VI004957AG	5.5525	9.6775	21.25	12.8	4.53	21.22625	2.85
VI004958BG	4.065	12.4175	12.25	6.685	4.15	12.225	4.51
VI004965BG	3.515	12.51	17.15	8.28	3.75	17.1575	4.15
VI004968AG	1.24	10.93	16.75	6.38	3.08	16.7375	3.75
VI004969AG	7.96333333333333	11.8525	21.65	5.25	2.2	21.625	3.06
VI004973B-BLM	10.55	11.1925	21.75	10.65	5.265	21.7575	2.2
VI005022BG	3.425	10.64333333	6.7	4.255	0.6	6.7375	5.28
VI005024B-BL	6.39	17.28333333	9.2	6.5	NA	21.93	NA
VI005030BY	6.3	6.136666667	11	8.5	2.1	10.98333333	2.1
VI005041AG	10.005	15.245	15.4	8.105	9.98	NA	NA
VI005066A-GM	6.01666666666667	12.045	20.15	6.075	3.25	NA	NA
VI014178BG	4.77	4.95	NA	7.5	3.55	NA	3.55
