Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018.1	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018.1	SeedPerPod_India_2019
VI003664AG	116.45	23	1.85	6.4	3.835	4.1	12.33333333	13.65	9.65	8.5
VI003678BG	NA	28.5	15.75	NA	3.585	2.1	9.666666667	NA	10.65	6
VI003685AG	78.9	16.5	12.15	4.5	3.595	3.5	13	11.5	12.5	7.5
VI003699B-BG	NA	20	7.6	2.9	2.535	2.5	12.5	NA	7.3	7.5
VI003720BG	NA	29	6.6	7	2.395	2.65	11.33333333	NA	8.65	6
VI003725BG	61.6	34.5	4.45	7.4	3.415	4	12	13.1	8.3	7
VI003733BG	50.9	35	3.3	4	3.305	2.6	11.66666667	13	8.5	7
VI003734B-BR	NA	43.5	5.7	NA	3.775	2.9	10	NA	12.95	NA
VI003734B-DG	81.5	30.5	19.15	7.8	4.265	3.55	11.5	11	10.5	7.5
VI003744AG	61.5	24.5	0.3	NA	3.185	2.85	10	12	11.15	NA
VI003755BG	56.7	30	3	4.8	4.015	2.7	11	11	12	5.5
VI003760BG	NA	19.5	13.3	3.4	4.365	4	11	NA	11.15	6
VI003785BG	92.4	35	12.3	2.7	3.645	2.8	11	16	13.15	8
VI003795AG	39.7	24.5	15	4.2	3.535	3.2	10.75	12	10.65	7.5
VI003801BG	110	24.5	4.7	2.8	4.825	4.4	11.5	14.5	12	8
VI003882A-BLM	57.9	17	22.8	5	5.145	3.3	12.25	11.5	11.65	8
VI003886B-BR	70	43	9.7	6.325	3.575	3.4	12	12	11.3	5.5
VI003886BY	80.8	48	6.45	8.4	3.775	4.05	11.25	13.5	9.85	7
VI003893AG	29.25	44	5.7	6	4.045	2.1	11.75	12.5	12.5	7
VI003894B-BLM	NA	12.5	10.6	6.25	2.88	3	12	NA	11	6
VI003907AG	68.85	26	20.2	5.65	3.695	2.5	12	12	9.3	6.5
VI003914AG	94	25	0.4	10.3	3.685	0.4	12	11.5	11.7	6
VI003925B-BLM	101.6	32	7.45	5.7	2.915	3.15	11.5	11.5	11.3	6
VI003927AG	84.4	39	6.8	5	3.505	2.7	11	13.5	11.8	4.5
VI003929A-BL	NA	27	7.2	8.9	2.605	2.2	7	NA	12.45	NA
VI003942AG	68	43	8.6	3.5	2.855	3.3	10.75	9	8.95	6.5
VI003944B-BR	81	13	10.1	4.3	3.955	4.25	10.75	12	9.95	6.5
VI003947B-BR	44.3	32	8.15	3	4.185	0.3	10.5	13	12	5
VI003948B-BR	70.55	18.5	8.8	4.4	3.625	3.2	11.5	13.5	11.8	7
VI003951AG	66.5	25.5	11.2	6.425	4.345	4	12	17	6.95	7.5
VI003954BG	69.1	19	6.5	2.235	4.065	3.4	11	10.5	10.65	7.5
VI003957AG	75.9	43	2.8	7.7	3.385	2.5	10.5	13.5	7.95	8
VI003958B-BLM	73.55	19.5	6.2	7.4	3.285	3.5	12	14	11.65	6.5
VI003959BG	114	26	6.85	8.5	3.285	3.25	12.5	13	11.65	7.5
VI004006A-GM	NA	32	5.8	21	3.085	2.1	11.25	NA	12.15	7
VI004010AG	84.2	30.5	5.2	2.5	4.075	4.1	11.75	13	8.65	8
VI004024AG	81.375	31	6	11.9	4.055	2.8	11	13	12	8
VI004044BG	81.7	22.5	6.2	7.8	3.955	3.7	11.5	12	12.8	7
VI004045A-DGM	112.3	18	30.75	5.2	2.875	2.35	11.75	13.5	11	6
VI004048A-DGM	43.8	27.5	22.4	4.9	3.175	2.3	12.5	10	11.95	8
VI004069BG	61	32.5	11.4	3.85	3.965	4.1	10.5	11	10.8	5.5
VI004096AG	91.25	20.5	5.1	6.75	3.005	2.3	12	13.5	10.65	7
VI004096BG	NA	32.5	1.4	5.1	3.195	2	12	NA	9.3	8
VI004129A-BLM	103.6	12	13.05	7.2	2.445	2.25	9	12	8	9
VI004138BG	99.15	27.5	3.95	5	4.185	2.95	12.25	13.5	10.8	8.5
VI004145B-BLM	41.95	23	6.45	NA	3.855	3.2	11.66666667	11.5	10.35	NA
VI004184AG	103.4	42	5.15	NA	4.115	2.65	10.5	13	11.15	NA
VI004243B-BR	47.35	42.5	5.45	4.4	2.525	3.35	10.75	12	10.65	6
VI004244B-BR	45.4	22	7.2	2.835	2.885	3	10.66666667	13	8.8	6.5
VI004297AG	90.9	22	5.45	4.33	3.475	3.35	10.75	12	10.65	7
VI004302AG	61.25	19.5	19.5	5.765	3.045	3	10.25	13.5	11	6.5
VI004307AG	69.6	37.5	19.1	5.4	3.245	3.15	10.75	13	11.5	6
VI004312AG	65.85	23.5	8.75	5.435	3.125	2.45	10.33333333	11.8	11.35	5.5
VI004347B-BLM	84.5	28.5	7.7	5.6	3.315	2.75	11.5	9.8	9.95	5
VI004351AG	81.5	24	10.95	4.21	3.385	2.45	11.66666667	11	10.15	6
VI004423AG	61.15	16	7.75	4.65	3.655	3.05	10.75	11	9.8	8.5
VI004432B-BR	83.7	19	6.7	7	3.055	2.85	11.5	11.5	7.95	7.5
VI004480AG	60.4	33.5	9.15	NA	3.845	2.25	11.75	13	10.95	NA
VI004639AG	57.5	17	8.45	2.1	4.095	2.65	11.5	12.5	10.15	6.5
VI004666AG	60.4	26	3.45	4.2	3	3.05	9	12	11.45	5
VI004691AG	46.9	43.5	0.9	3.5	4.325	2.6	11.25	12	5.65	6
VI004694BG	43.4	36.5	13.15	5.625	4.625	3.35	11.5	12	9.35	7.5
VI004710AG	59.45	6.5	4.85	3.3	3.225	2.75	11	12	11.5	8
