Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018.1	DM_India_2019	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018.1	DF_India_2019.1
VI003187BG	64.25	66	85	60.5	53.5	37	29.5	52.5	49.5	38.5	41
VI003212B-BLM	61.5	64	92.5	58.5	58	35	39.5	45.5	42	42.5	44.5
VI003220AG	62.5	63.5	93	56	56.5	34.5	37	57.5	57	39	42.5
VI003232AG	72	83	98.5	59.5	58.5	42	52	NA	52	42	46.5
VI003235AG	70.3333333333333	75	93	58	NA	46.5	54	19	52	40	NA
VI003242AG	62.5	66.5	85	57	54	34.25	34	54.5	49	37	40
VI003251A-BL	68	82	100	54	53.5	41.5	53.5	45	47	40	38.5
VI003251A-BLM	64.5	65	91	57	54.5	37.25	33	54.5	52	39	37
VI003252BG	70	NA	84.5	63	54	39	48	54.5	51	47.5	36.5
VI003255AG	67	82	94	67	58	40.5	48	53	50.5	43.5	35
VI003276BG	72	NA	94	55	56	43.75	37	47.5	52	36	41.5
VI003329AG	70.5	73.5	85	60	60	40	52.5	59	52	36	50
VI003332AG	70.5	62	100.5	58	57	43.5	34	42.5	48	38	43
VI003337BG	72	82	89.5	56	53	44	55	54	46	44	38
VI003364AG	62.5	67	92	53.5	50.5	33	31	47	41.5	35	37
VI003379BG	65.5	79	85	63.5	53	36.25	49.5	56	56	44.5	38
VI003382BG	63.5	61.5	90	60.5	60.5	36	42	56	48.5	38.5	49
VI003407AG	67.75	68	94	60	60.5	40	37	53	41	45.5	49
VI003413BG	64.5	65	97	55	58	35.75	31	47.5	51	34.5	41.5
VI003440AG	66.75	68	91	60	58	36.75	37.5	57	52.5	41	49
VI003455AG	69.75	71	103	56	60	41	38	51.5	46	40	47
VI003456AG	66	88	95	59.5	55	37.25	53.5	56	56	45	NA
VI003465BG	68.5	63.5	92	58	56	39.75	35.5	55	52	40.5	35
VI003470BG	65.5	63	94.5	55.5	53	41.25	42.5	56.5	52.5	40.5	37
VI003480BG	65.25	65.5	93	53.5	54	35	34	47	48	37.5	37
VI003490AG	67.25	66.5	91	56	62	39.75	37.5	56	52.5	42.5	45
VI003493BG	65.5	71	93	62.5	NA	37.25	38	49	45.5	40	NA
VI003514BG	63.25	71	93	58.5	58	36.5	39	58	52.5	40.5	51
VI003517BG	63	78	99.5	57.5	57	36.25	55	56.5	56.5	38.5	36
VI003534AG	65.75	83.5	95	56	NA	35.5	56.5	51	52	45	NA
VI003534BG	73.5	76	94	54	56.5	43.75	56.5	54.5	53	36	41.5
VI003548AG	73	NA	85	54	57	37	60	51	48.5	45	42.5
VI003554AG	69.6666666666667	65	96.5	56	58.5	42.5	43	57	52	42	37
VI003560BG	69.3333333333333	NA	85	56.5	53	38.5	57	53.5	48	39	37
VI003563A-BR	66.25	64.5	105.5	56.5	54.5	35.75	37.5	51	48	36.5	39
VI003577AG	70	78	97.5	64	57	36.6666666666667	52.5	54	52	46.5	44
VI003602AG	64.5	66.5	91.5	57	54.5	35	36.5	51.5	46	50	38.5
VI003642AG	70	NA	93	58	58	38.5	39	58.5	54	40	43.5
VI003648BG	63.25	72	92.5	64	55	37	38.5	44	52	46.5	45
VI003658BG	72.5	NA	93.5	59.5	NA	39.6666666666667	42	55	52	34	NA
VI003664AG	66	65	93.5	62	55.5	37.5	42.5	56	52	43.5	32
VI003678BG	65.5	NA	91	72.5	55	34	55.5	51.5	49	41	46
VI003685AG	66.25	77.5	93.5	63	52	37.25	41.5	53	48	46	38
VI003699B-BG	73.5	NA	96.5	81	55	37	56	50.5	46	45	38.5
VI003720BG	70	NA	91	61.5	55	39.5	53	56	44	41.5	40
VI003725BG	72	69.5	94.5	56	59	44.75	47	52	48	40	47
VI003733BG	71	82.5	93	55	60	40.3333333333333	52.5	56	52	34	54.5
VI003734B-BR	72.3333333333333	NA	95.5	63	NA	42.5	58	54	52	44.5	NA
VI003734B-DG	61.75	62.5	89.5	55	53	32.5	32.5	45.5	46	38.5	36.5
VI003744AG	66	78.5	95.5	59	NA	36.75	53.5	54.5	42	41.5	69
VI003755BG	61.75	68.5	94.5	56	54	35.25	33	52.5	46	40	40
VI003760BG	63.3333333333333	NA	94.5	55.5	55.5	36.5	40	45	46	36	43.5
VI003785BG	66	68	85.5	54.5	53.5	36.75	30	47.5	38	36.5	38.5
VI003795AG	66	72	98.5	55.5	54.5	35.5	43	56	39	41.5	40.5
VI003801BG	67.3333333333333	65	94.5	54.5	52.5	33.6666666666667	38	47	47	38	38.5
VI003882A-BLM	63.75	65	95.5	59.5	58.5	33.5	33	57	52	39	47.5
VI003886B-BR	61.5	66.5	89.5	55.5	58	33.75	34	51	46	36	28
VI003886BY	65.5	62	93.5	55.5	53	36.5	33.5	49.5	46	37	39
VI003893AG	64.75	79.5	94	60	54	38.75	54.5	52	50	42	32
VI003894B-BLM	67.5	NA	85.5	NA	52	45.5	58	51.5	45.5	36	37
VI003907AG	63.75	64.5	85.5	56	59.5	34	34	58.5	46	37	47
VI003914AG	62	64	85	59	56.5	33.5	33	44.5	42.5	40	40
VI003925B-BLM	68.75	66.5	93.5	55	55.5	40.5	36.5	48.5	46	38	31
VI003927AG	63.6666666666667	75	99.5	65	NA	36.75	49	54	42	42.5	50
VI003929A-BL	68.5	NA	84.5	58.5	55	38.5	56.5	51.5	41	44	35.5
