Genotype	DM_India_2017	DM_India_2018	DM_India_2021	DM_India_2018	DM_India_2019	DM_Bangladesh_2017	DM_Bangladesh_2019	DM_Bangladesh_2016	DM_Myanmar_2016	DF_India_2017	DF_India_2018	DF_India_2019	DF_India_2021	DF_India_2018	DF_India_2019	DF_Bangladesh_2017	DF_Bangladesh_2017	DF_Bangladesh_2019	DF_Bangladesh_2016	DF_Myanmar_2016
VI001806AG	69	69	96	57	61	73.5	60	89	78	42.5	53.5	53.5	51.5	43.5	51	44	46	40	47	40
VI001806BG	72	68.5	85	56.5	59	71.5	64	NA	75	42.5	48	47	50	37.5	50	40.5	46	45	NA	37
VI001820BG	67.5	66.5	94	60	NA	70	68.5	67	76	41	49.5	55.5	46.5	43	52	48	45	48	41	45
VI001859BG	71	68	85.5	52	53.5	69	68.5	65	76	42	34	44	46.5	34.5	40	41	46.5	49.5	38	38
VI001974BG	63.25	63.5	93	64	53	66.5	71	65	75	35.75	31.5	49	41.5	35	37.5	37	46	53	36	37
VI001993BG	63	67.5	93.5	54	54	68	64	75	75	35.75	33.5	46	45	41	36	38	45	49	45	37
VI002009BG	60	82	89.5	57	51	70	59.5	65	75	34.25	36	42.5	39.5	34	34.5	44.5	43	40	41	36
VI002012BG	64.75	63.5	88.5	54	53.5	75	58	72	75	35	33	46	46.5	36	38.5	45	46	37.5	41	36
VI002051BG	67.75	78	93	61	55.5	77	64	72	76	40.75	44	53	54.5	43	41	49.5	46	47.5	36	37
VI002063BG	64	69	87	54	58	68	70.5	70	78	37	37	50.5	41	42	43	50	47	44	43	43
VI002173AG	64.5	63.5	102	57	53.5	71	61	80	76	40.5	33	55.5	46.5	42	39	46	49	49	44	38
VI002173BG	59.5	71	90.5	54.5	54.5	NA	58	80	76	32.25	40	50	46.5	39	37	NA	44.5	37	37	34
VI002176AG	61.25	63.5	91	55.5	51	69	62	76	74	33	34	44.5	40.5	38.5	36	36.5	44	37.5	34	32
VI002176BG	64	62	94.5	54.5	55	67.5	72	73	76	37.75	32.5	54.5	48.5	36	41.5	34.5	46	38	34	34
VI002190BG	63.5	68	87	54.5	59	71.5	72	70	76	39	36.5	46	45.5	38.5	48.5	47.5	46	52.5	41	34
VI002195AG	63.75	65	95	54.5	55.5	65.75	70.5	66	75	35.5	35	50	49	40.5	39.5	39	45.5	50.5	48	35
VI002197BG	61.25	65	94.5	53.5	52	66.5	68.5	65	75	35.25	35.5	49.5	48.5	35.5	38	33	48	48	35	36
VI002206AG	62.25	62	94	55	58	72	61.5	65	74	33.25	33	47.5	44	39.5	48	38	46	36	37	35
VI002239AG	59.75	66.5	90.5	55	59	65	56	70	76	32.5	37.5	49.5	39.5	40.5	45	34	NA	43.5	36	33
VI002274B-BL	64.75	68.5	NA	57	59	69	66.5	70	74	33.25	30.5	52	NA	41	54	NA	NA	44	39	33
VI002284BG	66.75	68	84.5	56	60	75	64.5	76	76	39.75	35.5	42	47.5	36	43.5	NA	NA	49.5	57	38
VI002402BG	66.5	62.5	93.5	55.5	55.5	74	66	70	79	40	36.5	50	48.5	37	41.5	46	NA	45.5	39	45
VI002432AG	65	62	85	56.5	52	70.5	65.2	76	76	37.25	36	54	48.5	39	NA	47	48	40.5	37	38
VI002437BG	60.75	66.5	105	57	53.5	64.5	58	70	76	34.25	33	47	46	33	38.5	36	48.5	47	35	34
VI002456AG	62.5	62.75	91.5	55	53	69	52	65	76	35.25	33.5	47	51	37.5	32	38.5	NA	36	39	38
VI002469AG	64.25	65	96	60.5	54	74.5	57	76	76	39.25	40.5	51	49	44.5	35	48.5	44.5	42	49	37
VI002487AG	63.75	66.5	85	55.5	60	70	64.5	80	76	37.5	35.5	47	49	39	44	41	46	47.5	41	34
VI002523AG	66.25	68.5	94.5	58.5	57.5	72	69	73	76	40.5	36	53.5	52.5	40.5	44	44.5	NA	49	42	38
VI002529B-BL	71	78	86	60	53	NA	63	NA	79	43.5	45	58.5	48.5	48.5	38	NA	45	37	NA	47
VI002532AG	62.75	70	93	57	56	72	61.5	82	76	34.5	38	48.5	48.5	38	41.5	46.5	46.5	44	44	38
VI002537AG	70.3333333333333	63.5	85	55	54.5	74	56	65	76	41.75	32.5	50	51.5	40.5	43	39.5	45	47.5	37	35
VI002569BG	72	66.5	99.5	56	59	68.5	61.5	68	76	44.5	41	45	51.5	43	45.5	43.5	44	42	35	38
VI002587AG	67.3333333333333	65.5	93.5	57.5	53	64.5	62	76	76	35	36.5	44	51.5	39.5	42	40	47	46	42	36
VI002611AG	64	66.5	94	56	59	71	63	65	79	36.5	43	56	52	39	42.5	47.5	46.5	44	39	45
VI002646AG	65.75	62	102.5	63.5	55	67.5	67	76	76	37.75	43.5	52.5	48	42	42	44.5	49	53	44	38
VI002647AG	65.5	64	95	60	58	72	69	76	76	39.75	35.5	41	45.5	43	46.5	41	43	43	37	35
VI002672AG	66.25	65.5	102.5	63.5	58	NA	63	70	76	40.25	43	53	54	43	42	NA	48.5	43.5	45	38
VI002739AG	63.25	63	93	58.5	58.5	74	69.7	76	76	39	33.5	50.5	43	39.5	43	44.5	45	49.5	43	36
VI002802A-BR	59.5	66.5	91.5	56.5	55.5	66	72	65	76	32.75	38	43.5	40.5	40	40.5	33.5	NA	55	35	36
VI002859BG	61.75	63.5	85	54	55.5	75	64	70	76	36.5	39	51	46.5	37.5	44.5	47.5	42	40	43	36
VI002860AG	60	66	89	55.5	54.5	69	61	68	74	32.25	35.5	47	39	37.5	36	33.5	42	40	36	33
VI002872BG	60.25	66.5	91	55	52.5	65	63.5	67	74	35.25	36	47	46	37	38	38.5	43.5	37	38	35
VI002877BG	62	65	93	54	54	67.5	58.5	86	74	31.75	37.5	48	47.5	37	39	35.5	47.5	40.5	47	36
VI002894B-BR	61.5	65	95	53	53.5	NA	67.5	72	73	34.75	37.5	46	47.5	41.5	34	43.5	45	48.5	39	33
VI002926AG	63.5	63.5	102	59.5	55	74	68.5	80	76	35.75	38	54	51.5	43.5	41	47.5	46	53	43	36
VI002934AG	62	84	93	59	55.5	69	66	80	76	32	54.5	47.5	52	42	41	45	46.5	49	40	35
VI002986AG	71	69.5	102.5	56	55.5	73.5	64	80	79	39	38	47	52	39.5	38	45.5	48.5	44.5	37	45
VI002993BG	66	67	92.5	57.5	53	64	69.7	80	76	35.75	36	47	46.5	37.5	39	34	43	35	45	38
VI002999AG	66	NA	85.5	58.5	NA	69	69	NA	80	37	NA	54	54	44	NA	52	45.5	44	NA	48
VI003019A-BLM	67	66	93	57.5	53	68	67.5	81	74	35.5	40	46	43	39	37	45	46	39	48	37
VI003019BG	69.25	68	85.5	59	60	73	72	70	76	38.25	55	49	46.5	43.5	44	47.5	46	49	52	37
VI003034BG	61.5	63.5	98.5	57	54	NA	72	82	76	35.75	36	50	45.5	41	40	48.5	44.5	49.5	48	38
VI003035AG	65	69	85	60.5	54.5	65.5	76	76	76	37.5	42.5	55	46.5	42	43.5	NA	46.5	55	43	38
VI003057BG	66.5	77.5	100.5	59	NA	74	74.5	80	76	41	49.5	53	43	42	59	49.5	46	54.5	49	38
VI003062BG	69.3333333333333	73.5	98	65.5	NA	NA	66.5	82	80	37	45	58	52.5	44	64	50	46.5	48.5	39	47
VI003068A-BR	70.75	73	98	57.5	61	71	69	73	80	44.5	51	57.5	56.5	39.5	43.5	41	45.5	51	42	48
VI003070AG	68.75	72	85	59.5	57.5	NA	72.5	73	75	37.25	39	47	47.5	43	46	48.5	47	51.5	40	35
VI003083BG	66.75	66.5	92	57.5	56	72	59	76	80	37.75	44	55	48	41	37.5	46.5	46.5	37	48	48
VI003114AG	65.75	67.5	94	57.5	57.5	73	71	76	76	39	44	54	53	40.5	45.5	47	44	51	42	35
VI003135B-BL	62.5	64	93.5	56	57.5	68.5	70.5	60	78	36.25	35.5	51.5	45	41	48	NA	46.5	47.5	41	46
VI003159AG	68	66.5	94	57.5	59	NA	60	80	79	44	39.5	56	54.5	42	48	40	44.5	45.5	38	45
VI003172BG	68.75	69	93	58.5	55.5	68.5	59	80	74	37.75	39.5	48.5	46	41.5	41	42	46	39	42	37
VI003181B-GM	64	70	89.5	55	60	65	67.5	86	74	36.25	39	53	40.5	41.5	53	36.5	44.5	44	48	36
VI003183AG	70.5	65.5	96	55	53.5	NA	60	NA	80	39.75	37.5	49	51	38	30	40.5	49	43.5	NA	48
VI003187BG	64.25	66	85	60.5	53.5	72	55	70	74	37	29.5	52.5	49.5	38.5	41	39.5	44.5	38	38	38
VI003212B-BLM	61.5	64	92.5	58.5	58	70	65.5	75	76	35	39.5	45.5	42	42.5	44.5	44	45	46.5	41	35
VI003220AG	62.5	63.5	93	56	56.5	NA	68	75	76	34.5	37	57.5	57	39	42.5	45	NA	44	44	35
VI003232AG	72	83	98.5	59.5	58.5	71.5	66.5	87	78	42	52	NA	52	42	46.5	47.5	45	46	46	40
VI003235AG	70.3333333333333	75	93	58	NA	71	56	76	78	46.5	54	19	52	40	NA	34	46	35	45	38
VI003242AG	62.5	66.5	85	57	54	65	56	65	74	34.25	34	54.5	49	37	40	40	44.5	42.5	37	33
VI003251A-BL	68	82	100	54	53.5	68	62	76	76	41.5	53.5	45	47	40	38.5	38	46.5	45	54	38
VI003251A-BLM	64.5	65	91	57	54.5	71	62	76	76	37.25	33	54.5	52	39	37	46	44.5	48.5	41	37
VI003252BG	70	NA	84.5	63	54	NA	55.5	86	80	39	48	54.5	51	47.5	36.5	44.5	46.5	33.5	46	48
VI003255AG	67	82	94	67	58	68	61.5	76	78	40.5	48	53	50.5	43.5	35	NA	44	39.5	41	38
VI003276BG	72	NA	94	55	56	NA	74	75	74	43.75	37	47.5	52	36	41.5	52	46.5	50	36	38
