Genotype	PodPerPlant_India_2018	PodPerPlant_India_2021	PodPerPlant_India_2018	PodPerPlant_India_2019	SW_India_2021	SW_India_2018	SeedPerPod_India_2017	SeedPerPod_India_2018	SeedPerPod_India_2018	SeedPerPod_India_2019	PodPerPlant_Bangladesh_2017	SeedPerPod_Bangladesh_2017	PodPerPlant_Bangladesh_2019	SW_Bangladesh_2019	SeedPerPod_Bangladesh_2019	SW_Bangladesh_2017	PodPerPlant_Bangladesh_2017	PodPerPlant_Bangladesh_2016	SW_Myanmar_2016
VI001385AG	123.25	NA	5.45	8.3	NA	4.95	11.5	14	12	7.5	14.9	11.1	21.1	6.59	12.1	2.55	16.5	10.4	3.2
VI001400AG	73.4	9	4.45	2.33	4.69	3.55	12.33333333	14	11.3	9	10.3	8.9	24	3.54	10.4	2.75	8.5	6.4	4.6
VI001403BR	57.4	6.5	1.15	6	2.745	3.25	11	13	10.8	9	11.1	10.1	19.5	4.395	11.5	2.4	13.5	35	3.8
VI001406BG	97.8	31.5	10.55	7.3	2.73	2.9	11.5	12.5	10.65	7	20.1	9.9	27.7	3.08	11.6	2.85	10.5	22.8	4.2
VI001408BG	75.65	41.5	4.8	5.8	4.07	3.4	11	12	10.45	6	13.1	10.2	23.2	3	11.7	2.6	11	4.8	4
VI001411AG	135	NA	8.45	3.5	NA	1.95	13	10	9.65	6.5	12	10.4	20.5	4.23	11.1	2.8	15.5	14.4	3.6
VI001412AG	98	37	5.45	8.5	3.18	3.85	11.75	14	11.85	7.5	14.7	11.4	28.8	3.97	11.4	2.4	11.5	10.4	3.8
VI001419BG	121.9	43.5	6.45	4.75	3.15	2.45	10.33333333	12.5	11.65	6.5	13.8	9.3	22.3	4.375	11.2	2.9	19.5	18.4	3.8
VI001435AG	73.6	24.5	16.75	4.165	3.32	3.15	11.5	14.5	10.5	8	8.4	8.6	18.8	4.28	13.9	3.3	12	7.6	4.2
VI001448A-BLM	29.3	32.5	18.35	3.7	2.91	3.55	10	13	11.15	6	6.5	7.85	25.5	4.51	11.2	2.7	11.5	NA	2.8
VI001471AG	80.35	31.5	13.2	4.5	2.42	3.7	11	13	10.65	6.5	15.7	8.3	24.9	2.95	10.9	2.65	9.5	14	4
VI001482BG	97.8	44.5	12.85	6.7	3.85	3.15	10	13	12.3	8	9	5.8	19	3.91	10.7	2.1	10	6.8	4.2
VI001490AG	134.25	29.5	10.15	NA	3.48	2.15	11.75	13	12.5	8.5	11.6	9.7	26	4.435	11.6	2.45	14	23.6	3.6
VI001509AG	45.75	36.5	7.15	10.7	3.275	2.65	11.5	10.5	11.3	8	12.2	7.5	22.5	3.555	11.6	2.95	17	10.2	3.8
VI001514AG	104.7	37.5	17.45	3.45	2.31	2.85	11	12.5	11.5	8	21.7	9.6	11.6	2.78	9.4	0	0	8.2	3.8
VI001520A-BLM	NA	38.5	8.55	7.4	2.67	3.25	10.66666667	NA	12.15	6	17.3	8.5	18.4	2.85	12.2	2.3	15.5	1.2	2.8
VI001533BG	34	36.5	0.35	NA	3.2	1.55	13	15	6.5	NA	5	9.4	NA	NA	NA	2.45	11	NA	3.6
VI001535BG	80.9	20.5	13.9	4.625	3.23	4.15	11	12.5	12.65	7.5	17.1	10.4	16.7	4.31	11.3	2.05	11.5	24.4	4.4
VI001539AG	91.9	25.5	5.85	6.5	3.71	2.35	10.66666667	13	10.95	6	15.25	9	20.6	2.645	11.2	2.6	12.5	1.5	3.6
VI001548AG	94.25	23	13.75	8	3.32	3.25	12.25	12.5	7	8.5	17.95	9.5	17.26	2.875	7.53	2.5	12.5	16.6	3.8
VI001556BG	NA	12.5	0.3	9	3.15	1.55	11.5	NA	5.8	8	14.8	9.5	18.8	3.67	12.2	2.45	10.5	2.2	3.4
VI001557BG	111.95	22	18.15	7.1	3.35	3.6	11.75	11	12.15	7.5	9.6	8	19.8	3.215	11.3	2.15	12	19.2	4
VI001562AG	55.25	32.5	14.3	5.865	2.84	2.55	11	12	12.15	7	9.5	11.2	20.2	3.295	11.6	2.65	10.5	26.8	3.4
VI001576BG	86.25	10.5	9.85	7.45	3.02	2.75	11.5	15	12	6	13.9	10.9	21.9	3.085	11.1	2.7	15	25.8	3.4
VI001579BG	84.7	25.5	7.5	9.8	3.86	3	11.75	14	12.3	6	6.7	9.65	37.1	3.445	10.9	2.45	9	17.4	4.4
VI001605BG	78	15.5	19.25	6.3	4.465	2.65	11.25	12.5	11.85	7	6.4	9.6	37.6	4.92	12.8	2.7	24.5	11.3	4.4
